subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,1.1240504e+12,2.3349531e+08,4.0016765e+10,9.60574e+12,319.30362,180.12753,0.01766821,0.01824333,12.606281,9414.051,7.999751,206.39328,149.06564,23499.08,13876.936,8727.3955,20.364094,25.342903,2.809607
1,0,0,0,3.4496997e+11,1.3499629e+08,3.8691426e+10,2.9399332e+12,278.85556,150.24422,0.02824805,0.022947649,11.8553505,874.9994,3.7449443,88.97805,41.459404,24067.129,14055.278,8816.796,-293.9178,-33.191555,17.940424
2,0,0,0,1.1916048e+11,4.3653844e+07,1.239982e+10,9.5179964e+11,188.87662,97.93095,0.021181973,0.01816775,4.8545156,590.1229,4.224421,63.346718,33.310993,23832.725,13579.895,8149.1177,-121.49386,102.67978,311.9912
3,0,0,0,5.7244815e+10,1.6808216e+07,2.815848e+09,4.7756355e+11,131.97444,70.7834,0.0082985815,0.007342374,1.1239842,1299.7096,5.9436965,62.498096,39.343716,23306.598,14030.479,9489.638,-24.950474,-24.263634,-265.13986
4,0,0,0,2.2042168e+09,0.0,7.2044114e+09,7.332436e+10,124.05208,67.14013,0.019924475,0.013678696,0.095944494,61.471737,4.6946516,10.413237,11.314122,23478.156,13769.273,8644.31,165.14073,99.572334,-7.5290728
5,0,0,0,1.1133314e+10,9.257595e+06,5.19932e+08,1.0468634e+11,107.33712,58.366314,0.0028608476,0.0032901994,0.07223174,575.79834,8.351981,19.757696,17.153154,23366.86,13974.732,8995.234,-263.39526,-65.74679,-95.96277
7,0,0,0,1.986505e+09,0.0,5.2282512e+08,3.2763599e+10,69.643105,33.87665,0.005601882,0.0043195146,0.02510845,59.298878,5.0691223,15.639837,10.359735,23001.545,13849.426,8445.615,96.19299,42.80995,115.744804
8,0,0,0,1.8918683e+09,0.0,1.8462414e+08,5.3759156e+10,67.124954,37.354836,0.0023952492,0.0028993064,0.00434524,183.77754,3.7694302,27.714787,10.340294,23196.584,13575.528,8482.755,-143.5402,55.16471,-83.70482
12,0,0,0,1.102105e+09,0.0,1.434703e+08,1.1795571e+10,63.14265,32.764038,0.0027101825,0.0019985186,0.010216219,52.255573,4.7176676,7.005401,8.825254,23455.22,13782.042,8742.968,211.79768,518.17065,25.201845
146,1,146,1,1.4908616e+12,4.429632e+08,6.6986664e+10,1.3475887e+13,363.67514,207.67496,0.022277566,0.020949066,13.05787,10774.909,6.187835,231.88441,146.75331,14537.389,15892.027,6446.187,81.47086,-36.39884,-28.646536
