subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,9.265479e+11,8.894825e+08,7.696146e+10,1.3627173e+13,374.5869,225.61879,0.0020031147,0.04429542,0.26220727,15193.53,6.489308,217.49567,140.54434,22987.742,4803.864,3112.3926,23.605698,-37.914608,31.519588
1,0,0,0,3.4936108e+06,2.3072878e+08,2.3609364e+10,1.3884811e+11,178.82039,107.52065,0.0,0.040066153,0.0,95.194145,4.0327787,9.391263,10.7080965,22960.646,4792.506,3057.7073,-8.283555,495.48264,115.00117
2,0,0,0,1.3300227e+09,1.04638104e+08,8.902263e+09,3.3427174e+11,129.33319,80.09781,0.0,0.022885187,0.0,521.19434,4.7622657,44.108917,28.245388,23443.498,4396.24,3038.2368,25.49818,296.55603,-85.85742
3,0,0,0,1.8011111e+10,2.0599276e+07,8.2076744e+09,2.4442423e+11,139.09813,73.03306,0.039201133,0.025627168,1.8768563,1021.6528,5.4945426,31.65253,11.601984,22918.207,5225.4243,3037.578,-231.02779,-286.6342,9.03278
4,0,0,0,0.0,0.0,7.0167276e+09,2.6160028e+10,107.08272,46.86792,0.0,0.031099597,0.0,29.82657,3.1522436,5.0320597,5.4046693,22965.73,4915.0166,3126.065,-80.391266,-297.34378,35.45711
5,0,0,0,1.9218228e+09,3.4007676e+07,3.9852582e+09,7.975718e+10,94.03379,52.22718,0.037324823,0.022315107,0.0,211.06805,3.444184,22.301748,5.448965,23058.707,5291.3867,3082.069,-276.71033,-366.42145,-1.3855063
6,0,0,0,0.0,0.0,3.0763023e+09,3.5051467e+10,87.64733,42.411854,0.0,0.022194287,0.0,47.809002,3.9628224,10.245043,7.8073936,23215.262,4870.366,2994.5063,11.441933,-164.45291,-63.99375
7,0,0,0,5.4681837e+08,1.9677082e+07,2.628295e+09,6.0374647e+10,89.94285,47.6237,0.042258926,0.020700473,0.0,215.73018,4.2740574,16.810709,10.386333,23038.768,5480.3125,2922.6453,191.8696,-111.53826,160.1351
8,0,0,0,2.3600445e+09,0.0,1.8866036e+09,3.9314833e+10,91.38023,51.928936,0.02497332,0.018529793,0.029127944,165.9822,4.2444234,10.36917,10.940234,22873.77,4710.7656,3111.3452,-346.30457,223.62444,408.70547
9,0,0,0,1.9818897e+09,0.0,2.0881821e+09,1.0423306e+10,89.53988,37.01015,0.037704203,0.021016812,1.0118532,27.752678,2.8528197,2.9178293,3.177888,22958.127,4852.3237,3102.8906,42.719704,249.46297,424.14407
10,0,0,0,3.2291498e+07,0.0,1.665775e+09,4.2283536e+10,82.652214,47.487373,0.027228896,0.015913093,0.0,105.35839,3.1268966,13.675418,10.204363,23503.418,4379.352,2925.3765,116.877884,401.57516,-189.02412
