Model Name,n_trans,n_gal,lr,epochs,Test NLL,Avg PCC,Avg RMSE,TARP Score,Omega_m PCC,sigma_8 PCC,loss_history_path
all_centrals,1,All,0.005,100,2.754714409541001,0.7022028481827922,0.4689289960377611,0.015714285714285754,0.8683044510173243,0.3819397009546736,CAMELS_outputs\all_centrals\loss_history.npy
30_centrals,1,30,0.005,100,3.5807137750770033,0.6815156681991361,0.5106388291350279,0.021333333333333353,0.8734253805916478,0.42896588940976277,CAMELS_outputs\30_centrals\loss_history.npy
