subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,1.4698522e+12,1.8216408e+08,2.0927881e+10,3.8052404e+13,546.2936,347.0642,0.019541834,0.019824665,10.444145,20891.555,3.3014798,274.41473,268.20724,10159.418,8042.7363,15220.704,48.41398,58.10872,208.01454
1,0,0,0,5.891447e+10,3.31791e+07,3.2813335e+09,1.2569359e+12,291.68005,175.19704,0.010971129,0.0105290525,1.1808822,1324.1101,3.2783413,32.87011,44.57354,9967.158,8016.994,15343.634,-264.15094,364.46228,-509.55853
2,0,0,0,5.566333e+10,1.2299615e+07,1.2875674e+09,1.6687993e+12,233.75577,133.03404,0.007733084,0.008698357,0.300299,3028.0999,3.6119487,70.70999,38.66556,10600.124,8444.338,15583.319,-252.42833,-226.69257,-163.54715
3,0,0,0,2.2086705e+10,7.4715175e+06,1.2659169e+09,6.774306e+11,213.1469,123.05314,0.009658729,0.011262801,0.33122298,1105.5721,3.3505979,32.877167,24.554527,9776.378,8107.3457,15198.936,801.647,-185.04767,57.940758
4,0,0,0,1.9772176e+10,6.193765e+06,8.0826566e+08,4.759192e+11,181.96088,101.57515,0.008824946,0.010030281,0.2994631,289.9826,3.4769723,31.891443,21.808954,10185.619,7889.098,14699.541,-179.07063,401.00436,724.7469
5,0,0,0,1.9111416e+10,6.5920425e+06,4.9930787e+08,4.7984096e+11,183.3154,108.63003,0.005376678,0.005625069,0.15720767,1334.3083,5.2653046,31.541866,36.161816,10025.584,7822.3413,14985.799,287.53845,282.5894,879.1471
6,0,0,0,1.6031625e+10,7.0130655e+06,1.12732e+09,3.4746823e+11,214.48946,124.71688,0.007813662,0.009540653,0.52463853,201.13315,3.9716368,17.044659,21.612251,9983.832,8102.018,15218.845,80.16257,600.1723,-398.32083
7,0,0,0,1.3533343e+10,1.2868663e+07,5.473314e+08,3.6474624e+11,192.13774,119.34038,0.0034843674,0.0038080066,0.04212486,282.6088,7.673528,21.380703,19.753365,9654.276,8130.4155,15133.985,663.29846,-258.21948,229.8873
8,0,0,0,1.255459e+10,3.2477115e+06,1.5839554e+08,3.9930813e+11,136.93668,75.63314,0.0040650913,0.0034818968,0.05226639,1422.6919,3.5647094,49.552048,23.587166,10155.615,7595.003,14034.443,129.2011,-201.03326,567.74084
9,0,0,0,8.375381e+09,2.333056e+06,1.4918566e+08,2.443425e+11,126.15802,64.54878,0.003528154,0.0043544318,0.042795237,368.83966,3.0796852,35.07647,23.4794,9903.048,8728.044,15168.379,645.6289,-253.36475,324.0235
12,0,0,0,3.1501432e+09,6.027766e+06,2.3184694e+08,1.319448e+11,145.06525,80.2258,0.0038501683,0.003523099,0.0035090295,208.55568,5.5518813,13.783458,16.87905,10662.053,8353.836,15633.062,-353.7114,-150.07037,-158.08891
290,1,290,1,9.739335e+11,1.395448e+08,1.6887846e+10,2.6485449e+13,507.72098,283.83472,0.013778036,0.0138448,0.3098293,19427.893,7.3193808,237.71883,112.33425,4681.3384,10741.236,20924.656,179.48328,-25.54635,-60.103436
291,1,290,0,1.2969874e+11,2.185474e+07,2.6012163e+09,3.5071126e+12,288.80176,166.68431,0.008476979,0.0097156875,0.8777419,1281.7443,4.144131,93.87422,48.866486,5507.733,10149.804,20622.154,-101.28651,338.53763,-151.15364
292,1,290,0,1.6235721e+10,5.310215e+06,7.9532346e+08,4.954461e+11,194.08046,105.0546,0.008521958,0.007455419,0.2947338,450.6612,3.873575,28.470974,24.201685,4244.7437,10977.318,21008.23,257.83707,156.2948,-442.45197
293,1,290,0,8.1981957e+09,3.880476e+06,2.8047654e+08,2.145232e+11,145.04239,81.01022,0.0071251295,0.0062405965,0.036248643,277.69046,3.553296,22.067074,22.642199,5349.96,10286.132,20575.213,47.507587,78.38473,-78.09905
294,1,290,0,5.2541507e+09,2.0778291e+06,1.3590074e+08,1.4835828e+11,120.83388,63.266674,0.0042335135,0.0035706863,0.008720819,311.84366,4.134981,21.942802,21.277758,5521.6167,10386.848,20382.05,-47.925102,432.9145,-23.357424
296,1,290,0,0.0,0.0,1.4655488e+08,5.6868966e+10,107.99531,53.937363,0.0,0.0043162126,0.0,109.25611,5.2013288,11.0110855,14.231114,4571.6074,10694.949,21153.969,146.94774,339.54483,-218.99632
439,2,439,1,6.748037e+11,1.2285882e+08,1.9260522e+10,1.8794645e+13,461.02588,250.19267,0.020988828,0.021548875,5.062565,10258.696,3.4417648,228.76187,64.73501,16894.873,182.73833,7022.1025,-102.20861,32.439922,98.86305
440,2,439,0,2.3527113e+11,6.986596e+07,9.42559e+09,6.359983e+12,393.35547,228.5869,0.015018671,0.015642114,1.9937577,2583.5522,3.5575278,89.406944,76.98938,16414.387,770.3348,7695.147,45.737675,-36.287376,-182.70251
441,2,439,0,2.3262149e+10,1.0647939e+07,4.3645434e+08,6.758215e+11,188.74242,109.689156,0.0035625622,0.004142516,0.13926858,798.0584,4.811617,41.170284,48.34637,16670.953,416.5768,7363.3223,120.36589,19.384615,461.4299
442,2,439,0,3.5091766e+09,3.6049665e+06,2.5887195e+08,1.2262653e+11,128.57855,71.2381,0.0054417974,0.0041886303,0.018992433,208.76144,3.8067753,16.322178,17.36641,16754.629,169.73438,7190.233,-539.9341,145.28789,-128.19351
447,2,439,0,0.0,0.0,1.5432304e+08,3.010307e+10,82.32632,40.357388,0.0,0.0036412391,0.0,67.1438,5.657962,9.635039,9.176321,16659.025,254.70201,6952.1226,-192.31444,-7.6263213,86.082664
540,3,540,1,7.367472e+11,9.112269e+07,1.256949e+10,1.995661e+13,472.92014,271.93744,0.017031102,0.014552601,4.5898805,10671.757,3.663388,200.06644,134.41283,10698.827,9158.772,17015.87,-177.70148,-229.56717,-114.02128
