subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,6.310374e+12,9.4944934e+08,1.3134027e+11,2.1950181e+13,463.3742,241.0322,0.01215241,0.011363373,2.4067585,19179.139,6.218367,221.45918,191.79387,15376.131,10904.862,8870.745,-64.08366,89.06393,-34.82302
1,0,0,0,2.818035e+12,2.7576902e+08,8.985442e+10,1.0262043e+13,365.94666,183.84995,0.0091351345,0.009741782,35.134003,6363.074,9.604204,169.29312,129.97194,15375.931,12131.643,8512.553,-85.31883,-227.49898,57.80095
2,0,0,0,7.1532485e+11,5.1290892e+07,1.1794299e+10,2.4515162e+12,240.82527,119.54377,0.004430141,0.0048927222,4.142841,2608.083,9.182211,91.77532,77.955956,16035.288,10960.453,8416.454,-320.97922,101.82429,277.78894
3,0,0,0,1.9610948e+10,0.0,1.4195615e+10,1.0705237e+11,122.68819,78.53801,0.008529219,0.0070127007,1.1988692,258.8338,12.489506,15.953059,20.465818,15252.315,10802.4795,8796.45,3.0089467,216.57396,-73.075516
4,0,0,0,1.0944462e+10,0.0,7.677012e+09,1.1982688e+11,132.19905,78.90032,0.005245072,0.005023739,0.43700325,90.97215,8.148084,15.614863,22.660305,15467.461,10852.653,8956.292,-309.33316,-10.372322,-231.87018
5,0,0,0,2.5606396e+10,9.588808e+06,1.6384808e+09,1.9409217e+11,133.02179,74.924835,0.0015869393,0.002292834,0.2847606,712.7211,9.705963,23.77909,21.934341,16022.495,11067.574,8215.252,-276.62158,156.17067,496.36383
6,0,0,0,3.5697805e+09,5.5566295e+06,2.0334227e+08,5.988209e+10,69.830376,37.569473,0.0006430588,0.00086190895,0.0,137.30394,8.135322,27.67437,21.530272,16069.69,10952.098,8913.458,-63.54551,-280.91336,54.786907
12,0,0,0,0.0,0.0,1.5626296e+08,2.2014956e+10,54.458702,33.542694,0.0,0.00084348256,0.0,77.21193,8.693054,16.938232,21.562351,15505.09,12156.385,8315.578,213.88237,133.98668,12.392717
20,0,0,0,2.5827679e+09,0.0,2.5809352e+08,2.8408614e+09,47.88778,16.821054,0.011238611,0.01039014,1.3221823,51.761612,3.0350158,2.7714386,3.2452762,15286.371,10820.486,8811.586,-86.35542,200.0782,-17.18201
201,1,201,1,5.4861245e+12,3.9130778e+08,1.066784e+11,1.9724843e+13,440.36984,219.61676,0.0068866173,0.00817256,53.281044,18709.635,17.980377,229.11287,157.48433,13460.538,4294.403,11446.38,3.2029905,4.786723,-37.75629
202,1,201,0,1.0160259e+10,0.0,1.0263824e+10,1.3836342e+11,150.0363,91.13208,0.004469251,0.0050147693,0.25439578,492.14578,13.048631,15.046885,21.264862,13574.931,4290.967,11441.28,-438.34598,-210.19041,187.05235
203,1,201,0,1.2313641e+10,6.474884e+06,2.0282522e+09,2.2227267e+11,123.11676,67.62445,0.0028414526,0.0028069413,0.09019751,428.08752,11.365579,32.37145,25.301085,13848.375,4052.0317,11640.741,114.00176,-385.42328,-142.37917
