subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,5.659945e+10,6.8319375e+09,7.7971276e+10,8.947329e+12,299.43582,170.55606,0.0,0.016605258,0.0,3946.3245,12.587255,225.6006,104.29241,12549.881,17771.129,24984.053,254.15028,64.838394,-90.798096
1,0,0,0,3.3783036e+10,0.0,4.3384967e+10,6.0950567e+12,252.02168,155.091,0.0,0.015420597,0.0,4914.8975,8.157533,224.68109,71.10855,13414.544,18347.406,648.0284,-37.69369,-10.70762,-168.05728
2,0,0,0,1.4078319e+07,1.6156055e+07,3.3669882e+10,9.2111005e+11,208.54158,115.97095,0.009084238,0.015011669,0.0,1201.5917,8.324846,49.262253,27.62068,13108.277,17973.768,686.0242,-153.76698,-1.7824639,-197.76941
3,0,0,0,2.339498e+09,0.0,1.9772572e+10,1.1312212e+12,169.49872,96.10552,0.0,0.0141102355,0.0,1984.575,8.386307,92.29488,42.675613,13196.79,17858.916,24326.994,-134.56046,-316.24777,3.025028
4,0,0,0,0.0,0.0,1.9847471e+10,1.05759454e+12,196.53346,107.65486,0.0,0.013933915,0.0,1934.9119,5.019021,61.334114,30.190256,13145.524,18185.998,24699.225,142.52986,9.177441,73.65895
5,0,0,0,0.0,4.8148936e+09,1.0248097e+10,1.083466e+11,129.97185,71.91881,0.0,0.013083901,0.0,191.4736,4.8196898,14.584376,7.815744,13495.639,18303.805,741.0068,-41.98364,62.205414,-384.28192
6,0,0,0,0.0,0.0,8.4650383e+09,1.106055e+11,130.1424,69.8211,0.0,0.010331595,0.0,306.3283,9.597102,14.152099,14.590607,12657.79,17645.18,56.14412,151.85602,229.0435,-44.42106
7,0,0,0,0.0,0.0,7.2683474e+09,1.0641269e+11,116.392044,61.616657,0.0,0.008747194,0.0,181.499,9.501261,17.132414,11.70336,13499.411,18454.955,953.73444,-0.7701936,-23.572897,-213.98648
8,0,0,0,1.1472853e+10,1.4534896e+08,2.826682e+09,2.4151956e+11,115.12942,61.298725,0.008689692,0.0066094166,0.0,376.50235,7.947498,41.39569,26.37337,13201.655,18505.945,24329.459,191.48964,4.460284,186.22049
9,0,0,0,1.5103931e+10,3.755031e+07,1.6092983e+09,1.5398923e+11,104.46962,53.74878,0.008064119,0.005889563,0.1263618,415.21802,8.127553,35.223648,16.51966,13738.602,17660.922,24137.506,57.09915,-131.93716,-20.782337
