subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,1.3788772e+13,6.340377e+09,1.5679015e+11,9.392312e+13,743.46063,432.06674,0.0027027756,0.008542283,3.358145,42569.52,35.586452,371.42215,315.31702,9957.386,14932.521,16977.48,-15.841905,-60.146595,-79.34919
1,0,0,0,2.4278876e+11,1.3987971e+08,9.969303e+09,1.7809652e+12,256.51254,132.45145,0.006109575,0.008524201,2.6979039,2289.8977,8.41205,60.08703,44.637836,9340.2295,15687.137,16397.656,320.37955,-11.594925,539.8869
2,0,0,0,0.0,5.6645216e+08,1.7004628e+10,1.2302491e+12,238.07085,133.03381,0.0,0.0075951745,0.0,862.8979,11.135587,46.749268,47.011272,10529.569,14702.064,17627.264,379.09857,207.1862,58.147816
3,0,0,0,3.5557778e+09,8.045475e+08,1.4333618e+10,1.3364446e+12,275.5917,181.48254,0.0,0.0066777975,0.108436055,1078.7999,8.945294,38.46453,45.25018,9602.864,14841.282,16963.34,-590.5654,-1069.2081,17.105642
4,0,0,0,1.5787632e+11,1.095004e+08,2.540243e+09,1.05921885e+12,184.2267,91.54506,0.0033728622,0.005406106,0.23924033,1676.703,6.380687,80.73564,25.50328,9848.864,15936.94,15099.995,306.0252,-148.04887,346.30655
5,0,0,0,0.0,4.6731856e+07,2.4816159e+10,4.565542e+11,242.50671,144.67624,0.0,0.008949034,0.0,50.73041,7.9527297,17.124239,20.400648,9930.193,15082.293,16837.236,40.025467,-790.96106,640.00824
6,0,0,0,2.114843e+10,4.1549514e+08,9.294028e+09,8.2881754e+11,210.98582,115.65927,0.0045900843,0.0060242712,0.0,2020.5647,10.383074,40.201065,44.688496,10221.36,15248.151,16526.781,-305.0167,443.0244,-590.2235
7,0,0,0,9.725305e+10,1.4602299e+08,1.8207662e+09,6.259407e+11,164.85188,83.64555,0.0025686962,0.0042589395,0.083805956,391.8679,6.0266504,51.262604,31.684738,9855.964,15808.225,15609.7705,292.21692,-239.41818,342.43842
8,0,0,0,1.4506228e+09,6.223209e+07,9.338164e+09,4.208136e+11,189.11984,103.101555,0.019648988,0.008954644,0.0,725.978,7.5405936,25.791162,21.41274,9724.294,15525.739,16303.334,-1.5344765,137.13235,154.71054
9,0,0,0,0.0,500000.38,7.490689e+09,3.4302814e+11,191.9862,104.54383,0.0,0.0052948254,0.0,300.87857,10.8727865,20.080809,19.496298,10254.321,14947.808,16736.44,-638.283,229.48557,164.6739
10,0,0,0,3.7034766e+10,5.2806424e+07,2.4462787e+09,3.7628215e+11,160.63794,91.02722,0.0052078296,0.005596265,0.21001007,953.67487,7.759988,31.514261,29.95207,10129.153,15066.474,15994.0205,555.295,-247.36874,599.76117
