subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,3.4647798e+12,4.6225445e+10,6.624795e+11,1.0504804e+14,806.1512,475.02225,0.00587925,0.015087242,3.5424092,32553.975,94.67419,351.5302,195.41383,21363.496,17567.924,14656.377,-53.573887,-73.79913,-9.096998
1,0,0,0,1.5690483e+09,2.8649198e+09,4.3659874e+10,2.3421667e+12,277.6472,159.11348,0.0,0.015500928,0.0,1268.7316,16.706003,67.07784,37.302177,21173.016,18429.54,14606.137,422.35358,-803.4805,74.195045
2,0,0,0,7.681436e+08,2.7164582e+09,3.5265233e+10,2.0512101e+12,270.0013,164.0925,0.0,0.014715512,0.027409434,886.92267,14.500904,61.21476,46.25736,21923.902,17532.363,15198.774,-682.8732,-49.534725,-768.3208
3,0,0,0,2.6488234e+08,1.8361037e+09,2.7287683e+10,1.9825007e+12,273.78745,155.54008,0.0,0.013683407,0.0,1703.5348,13.97851,61.889595,35.080086,21107.848,16792.166,14175.564,430.1601,152.65134,768.4979
4,0,0,0,0.0,6.9991994e+08,1.5826942e+10,5.916632e+11,207.24667,121.80467,0.0,0.019655475,0.0,945.0132,7.6184564,29.982983,23.858267,20904.28,17389.021,14295.524,608.9888,591.1659,512.8882
5,0,0,0,0.0,0.0,1.863267e+10,3.8308748e+11,215.79688,115.80741,0.0,0.014942481,0.0,109.38143,7.2564483,17.9632,16.329382,20899.4,17570.496,14870.649,4.8587184,-66.50572,-267.9651
6,0,0,0,0.0,4.191272e+07,1.4706439e+10,3.915213e+11,189.94751,100.55602,0.0,0.017413137,0.0,305.17368,7.7259474,23.976387,13.272794,21849.568,17056.3,15411.864,-327.7599,-301.0181,-203.41241
7,0,0,0,0.0,0.0,1.5673062e+10,1.6078383e+11,176.01714,85.32329,0.0,0.016214643,0.0,77.87733,7.057649,11.48388,9.842864,21691.928,17421.713,14198.419,88.15303,-220.20839,38.63097
8,0,0,0,0.0,0.0,1.3532331e+10,1.2406871e+11,164.70247,76.954865,0.0,0.021086127,0.0,259.8108,6.5507,10.319645,7.4155307,21062.08,17985.184,14247.468,-82.91272,168.4443,-340.41425
9,0,0,0,0.0,0.0,9.552154e+09,1.6778086e+11,155.51674,77.918465,0.0,0.015627857,0.0,252.50253,6.934372,15.02413,14.16776,21846.193,17208.512,13925.657,451.24316,-189.90602,305.57175
10,0,0,0,0.0,0.0,7.9284905e+09,1.651403e+11,166.63014,87.39599,0.0,0.013705514,0.0,202.87799,6.426696,13.013233,13.495746,21443.715,17423.07,14317.973,553.4404,-469.39816,588.54517
11,0,0,0,0.0,0.0,7.196181e+09,1.1702073e+11,151.2608,74.93262,0.0,0.0137732625,0.0,276.14325,8.082875,11.348085,9.330737,21130.383,17858.117,14756.061,366.9537,-493.578,408.0498
12,0,0,0,0.0,0.0,5.253673e+09,2.370038e+11,129.44035,69.39125,0.0,0.014300729,0.0,682.0387,5.7513137,33.381645,13.6373625,20489.945,17587.305,14128.903,-562.75446,-510.93387,-61.333805
13,0,0,0,0.0,500000.0,5.8642166e+09,1.28512156e+11,139.55264,69.16656,0.0,0.014545901,0.0,80.25384,6.306299,14.529777,10.178426,21082.686,17140.152,13606.141,-23.90131,-49.208736,-409.36313
14,0,0,0,0.0,0.0,7.0008934e+09,3.923643e+10,128.28922,60.20133,0.0,0.016426725,0.0,23.789207,5.0700073,5.584234,7.53665,21246.01,17509.297,14620.221,848.54285,444.70102,-162.45305
