subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,9.981164e+12,2.336864e+09,4.029117e+11,5.2839347e+13,671.2603,347.6901,0.01367278,0.023265803,78.5713,23647.883,17.655956,267.86273,143.47034,12817.656,16812.047,4820.1475,-4.8537083,54.313843,-143.33142
1,0,0,0,1.246514e+12,5.859399e+08,3.1909626e+10,6.5333997e+12,374.34467,207.09792,0.0031526955,0.009857748,0.09018218,6126.0693,8.132145,101.73376,132.92044,12806.716,17178.484,4180.2607,102.68026,-198.42,455.08398
2,0,0,0,7.234561e+10,2.5572666e+07,2.881113e+09,5.0160973e+11,143.60426,77.96087,0.0051883254,0.005183743,0.0,664.433,6.682687,54.556572,19.284441,13248.948,17556.371,3725.2432,395.6097,-113.675934,451.0316
3,0,0,0,3.504621e+10,1.707948e+07,1.9473955e+09,4.2913543e+11,134.66443,77.00401,0.003756814,0.004260149,0.0,773.01697,8.665365,51.21246,66.70133,13371.951,17376.324,4157.66,-196.18355,-174.08165,153.7831
4,0,0,0,3.0259704e+09,500009.1,5.1588444e+09,1.5587095e+11,157.50241,87.821335,0.0082682185,0.0067694914,0.0,114.20949,6.322086,13.932007,18.268267,12864.987,17247.18,4017.1572,2.8924367,-295.32263,495.63654
5,0,0,0,3.0885325e+09,0.0,1.3557957e+09,1.6883419e+11,129.52803,69.01992,0.004495021,0.003161611,0.0070109777,438.97104,8.812657,23.121462,15.862871,12693.874,17279.744,4887.7803,228.75069,-257.91095,-836.9802
6,0,0,0,2.1222061e+09,0.0,1.7877856e+08,1.0801846e+11,86.77984,46.785534,0.00075177604,0.0020420381,0.0,407.95105,5.230933,33.453556,20.12543,13285.771,17129.057,5532.6396,-25.720333,597.3836,-424.2264
7,0,0,0,0.0,0.0,1.2215761e+09,5.303546e+10,101.803185,51.306385,0.0,0.004130772,0.0,76.351425,6.8719916,11.282162,12.051396,12914.124,16908.445,4485.1616,404.11844,250.10193,476.95615
8,0,0,0,0.0,0.0,1.00343456e+09,3.776075e+10,87.649185,42.37549,0.0,0.00394939,0.0,93.648834,8.293213,10.832068,6.947746,12760.692,17202.514,5354.6294,-43.297695,-155.04549,-314.8126
9,0,0,0,2.3822868e+09,0.0,2.0901254e+09,4.4724127e+09,75.935455,37.81877,0.036471654,0.0350996,4.854563,64.34567,2.6900752,1.6823473,1.7031947,12820.631,16807.932,4796.462,-13.375245,-368.7977,-222.0728
10,0,0,0,0.0,0.0,6.8360896e+08,3.786958e+10,90.76574,43.028496,0.0,0.0033450613,0.0,132.14973,7.1655135,9.939648,9.9942665,12983.659,17274.75,5260.668,222.16116,209.61423,-226.11829
11,0,0,0,0.0,0.0,6.184805e+08,3.8661767e+10,66.55469,38.164852,0.0,0.003117131,0.0,116.846344,9.910547,19.453163,17.054564,12581.311,17258.428,4913.1943,-264.4488,485.25067,71.3233
12,0,0,0,0.0,0.0,1.126723e+09,1.4897321e+10,78.07734,38.37399,0.0,0.0054585924,0.0,24.866333,5.4793253,5.31203,5.4156847,12782.728,17114.746,4253.1978,55.392582,138.1433,542.5822
