subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,1.66137e+13,1.2497007e+09,3.0706225e+10,1.4933439e+14,944.5887,580.018,0.00046282378,0.007174487,0.014674738,81216.25,19.680313,360.141,346.0632,21736.275,9185.053,10897.879,57.97155,-353.05023,28.593975
1,0,0,0,4.3766826e+12,7.5727763e+08,1.2457289e+10,4.33264e+13,658.0632,386.81488,0.0005937994,0.0034124919,0.0,34929.062,31.212675,216.48741,186.78777,21624.541,7719.083,10285.538,-20.654995,557.6275,290.7393
2,0,0,0,1.6555299e+12,4.8504576e+08,6.306904e+09,1.6859126e+13,511.6637,291.26422,0.00060774724,0.0037554074,0.0,3122.8647,8.4299555,138.53873,139.19179,21586.55,7479.3027,11356.937,98.11371,461.39325,-648.20123
3,0,0,0,2.2196037e+11,1.0841732e+09,1.7690763e+10,4.625352e+12,578.1127,366.38663,0.000584521,0.0060701417,0.0,1050.1145,5.122602,31.088293,42.924553,21799.043,9293.87,11054.591,-177.42624,533.1739,-354.54218
4,0,0,0,5.9222113e+09,3.5442912e+08,3.6792768e+09,1.4084686e+12,324.36203,196.51276,0.0011343,0.0035874892,0.0,770.2751,6.276958,29.455667,41.47731,21585.533,9475.701,10909.31,97.49261,-1170.321,-141.11699
5,0,0,0,3.8747808e+10,1.0128955e+08,6.737279e+08,1.257328e+12,267.82626,161.91492,0.00079351035,0.0018939879,0.0,1033.6503,8.027915,37.832314,38.33433,21397.5,7291.432,10044.301,-581.7205,181.76357,620.0999
6,0,0,0,3.7851623e+10,4.256904e+07,3.7221587e+08,1.154899e+12,228.3832,125.11605,0.0006496337,0.0012607117,0.0015108992,1909.5546,9.009796,49.630863,31.55499,22033.854,8284.659,10049.733,-512.44037,337.9952,124.98987
7,0,0,0,4.4405146e+10,2.629668e+07,2.693135e+08,7.780774e+11,201.55476,114.74198,0.00063295505,0.00167184,0.0,566.8166,8.174711,41.315674,40.71613,21800.555,7135.0723,11238.811,-77.00439,517.49524,-163.49156
8,0,0,0,0.0,500000.03,3.2694374e+08,5.168356e+11,201.041,117.106735,0.0,0.0014984476,0.0,378.02628,9.197209,28.280453,22.601578,21636.557,7273.2476,9946.752,79.07624,266.62637,211.3783
9,0,0,0,0.0,0.0,4.335326e+08,4.6333025e+11,193.93912,110.0613,0.0,0.0017394623,0.0,420.673,8.9718,26.864233,22.81686,22062.914,9231.227,10631.077,126.00075,-1435.3898,-559.64276
11,0,0,0,0.0,0.0,3.513239e+08,3.8073165e+11,195.54819,108.725494,0.0,0.0016380015,0.0,364.46353,8.902016,21.877317,18.528196,21792.566,9231.015,11469.371,-84.15819,1018.598,748.0274
13,0,0,0,1.0591907e+08,0.0,1.7303653e+08,3.504704e+11,176.02937,92.89808,0.0024122489,0.0010784672,0.0,297.49445,9.435984,25.468868,18.34298,22010.342,7055.2812,10085.131,-672.768,391.29196,575.8996
15,0,0,0,0.0,0.0,1.7273846e+08,3.1170118e+11,163.36739,85.29084,0.0,0.001706755,0.0,264.6514,9.84805,25.535997,22.64634,21187.574,8792.522,10544.796,634.4693,-564.68555,-503.72018
16,0,0,0,3.082923e+09,3.4232124e+07,3.3970806e+08,2.7402697e+11,202.53922,120.04232,0.0010102721,0.0018447961,0.0,142.22736,6.8287697,14.841197,23.243162,21437.945,7380.4473,10038.15,-146.75937,374.24313,565.14355
18,0,0,0,0.0,0.0,4.891337e+08,2.332086e+11,199.24985,113.4275,0.0,0.0022622037,0.0,121.59977,6.707754,13.006201,18.414755,21960.871,9219.358,11012.529,-362.2301,41.586803,115.85949
20,0,0,0,0.0,0.0,3.426093e+08,2.1833836e+11,137.98325,70.64482,0.0,0.0022897434,0.0,294.0221,9.380995,27.633965,16.523272,21979.535,9815.834,10722.857,435.01398,-266.7105,-454.28317
21,0,0,0,0.0,0.0,3.7631194e+08,2.1455874e+11,193.96643,101.44227,0.0,0.0023429026,0.0,79.30118,6.758077,12.375568,14.051515,21896.576,8947.557,11062.123,-540.017,298.38293,414.4947
