subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,1.5120487e+13,2.7727053e+09,1.7944941e+11,1.0805239e+14,754.7279,426.57275,0.0018567239,0.011024686,4.8807817,17480.31,99.26129,409.1898,448.59338,16580.596,23763.883,3321.964,14.836525,-44.980675,-18.460037
1,0,0,0,4.6955505e+11,4.835091e+08,2.3659006e+10,5.036172e+12,312.68405,173.75864,0.0025312135,0.01144275,0.0,3875.1843,12.002029,113.575874,67.75332,15108.567,24112.557,3943.825,590.3701,-312.58554,-302.6996
2,0,0,0,2.0234102e+07,3.5004956e+09,3.461418e+10,1.6570902e+12,293.25897,174.83296,0.0,0.0128336325,0.0,1187.8298,14.184397,41.986786,52.84529,16170.021,23736.162,3222.041,554.71124,34.856464,-4.1642375
3,0,0,0,1.7335455e+11,1.5209197e+08,6.985951e+09,1.5653411e+12,237.63072,129.96179,0.0032195093,0.009130438,0.09438466,4695.626,9.921243,60.859406,44.223347,17550.637,23767.588,3180.201,-915.96533,175.39172,10.06029
4,0,0,0,0.0,0.0,1.6474831e+10,9.541686e+11,217.17531,118.95238,0.0,0.014363971,0.0,936.9637,6.9329357,45.312542,33.943607,15982.115,23472.193,3920.4773,-283.2605,45.37601,241.80956
5,0,0,0,0.0,0.0,1.3815828e+10,3.1026446e+11,188.06795,105.045746,0.0,0.012405383,0.0,174.99025,8.004885,19.0658,20.464079,16825.516,23971.844,3037.3247,-165.79437,-353.1667,525.0501
6,0,0,0,0.0,8.209588e+07,1.5325818e+10,1.0365311e+11,198.9926,122.706436,0.0,0.014790506,0.0,130.65808,5.371508,5.953608,8.219617,16605.945,23766.578,3303.3528,-388.0207,-357.78802,427.11505
7,0,0,0,0.0,0.0,1.9261071e+09,3.686245e+11,141.43279,81.659874,0.0,0.009150762,0.0,642.7405,7.713127,42.478455,21.116724,15833.147,22855.262,3569.1348,-452.34482,-800.8444,182.70323
8,0,0,0,1.6667763e+08,0.0,3.801061e+09,2.742431e+11,169.0781,102.74997,0.0,0.0093195615,0.026225135,547.49426,7.681131,21.267294,30.00494,16774.174,23836.863,3045.9363,-1372.8741,210.59117,-77.638176
9,0,0,0,0.0,0.0,3.9213076e+09,1.8077263e+11,139.80109,74.5294,0.0,0.008250417,0.0,245.44576,9.372275,20.65167,15.644996,16974.383,23430.791,3399.8372,108.17898,-555.64496,70.82227
10,0,0,0,0.0,0.0,3.9278582e+09,1.5896812e+11,132.32672,71.60039,0.0,0.008798905,0.0,166.15962,8.581511,19.690939,15.349797,16837.246,23837.656,3592.3748,140.2058,-230.91496,195.15598
