subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,8.230972e+12,2.5844506e+09,3.1076244e+11,5.9025966e+13,639.1684,364.15277,0.007158216,0.021878162,2.709754,23628.338,15.912963,322.556,220.74683,771.3082,18287.793,1706.7661,88.96907,121.79353,71.860374
1,0,0,0,1.3015516e+10,8.62216e+07,1.6112698e+10,5.842107e+11,208.47063,123.08764,0.015260918,0.013378564,0.5568172,37.66285,7.2403245,29.039164,30.566753,868.6122,18034.229,1432.2985,697.99066,-70.70644,-377.33936
2,0,0,0,0.0,0.0,9.324531e+09,7.43959e+10,155.43419,78.94752,0.0,0.012449811,0.0,67.93349,5.7314467,6.8130994,8.784347,796.4069,18428.174,1781.6729,103.936844,-583.6731,-340.51874
3,0,0,0,9.625761e+09,1.6188286e+07,2.3737836e+09,1.970983e+11,136.31201,69.6786,0.0065711536,0.008850062,0.018978186,251.0316,5.7739496,24.885996,10.8759775,1258.3083,17868.605,2047.4133,-339.72937,-210.19106,-14.448388
4,0,0,0,0.0,0.0,4.453405e+09,1.13293025e+11,129.17413,73.71756,0.0,0.00834766,0.0,319.0808,8.449032,15.06043,10.325404,889.4833,18637.799,1742.9761,-674.0029,116.03694,127.14596
5,0,0,0,0.0,0.0,4.715114e+09,5.448697e+10,124.78525,60.647465,0.0,0.009702253,0.0,72.05446,6.709661,7.8058066,8.781671,739.3995,18608.06,1935.1425,81.67488,238.61975,406.71588
6,0,0,0,1.5796781e+09,0.0,1.8936646e+09,1.5143325e+11,121.91263,64.46134,0.0076690773,0.008024819,0.0,285.94757,5.8109612,23.137993,16.8573,1311.6494,17910.23,1843.6906,-222.76491,-285.55246,307.57822
7,0,0,0,5.7448504e+09,7.688848e+06,1.3580572e+09,1.4346345e+11,120.93059,63.15787,0.004098738,0.006791941,0.01316412,256.6654,5.3699226,21.76737,12.867294,1452.6421,18752.143,1796.8003,-84.2392,-592.11584,77.92144
8,0,0,0,0.0,0.0,2.2587267e+09,8.9020555e+10,118.64402,64.94403,0.0,0.008711945,0.0,133.81203,5.340986,13.725355,11.024419,812.07324,18422.389,1535.6611,88.477135,847.8971,522.3496
9,0,0,0,0.0,0.0,1.6523427e+09,1.0807116e+11,113.04149,53.752132,0.0,0.00726966,0.0,349.5246,6.456752,21.257084,8.15381,24992.373,18042.658,1672.9131,-350.21786,-77.189644,-73.3202
10,0,0,0,0.0,0.0,2.3514742e+09,3.362834e+10,116.29659,62.89554,0.0,0.009642235,0.0,126.07323,4.9243555,5.801088,8.571207,876.2445,18657.21,1723.6494,-737.8436,39.7225,19.623127
11,0,0,0,0.0,0.0,2.7065155e+09,6.289315e+09,107.01754,62.521988,0.0,0.022234432,0.0,9.537768,1.5598587,1.5294842,2.225967,770.48175,18294.531,1709.7285,12.521124,-389.36105,-198.78006
12,0,0,0,0.0,0.0,2.207859e+09,1.9153529e+10,85.88859,37.2237,0.0,0.009112197,0.0,81.97352,5.828516,6.0376577,4.292509,581.62244,18003.842,1577.7134,98.487755,503.9573,372.02158
13,0,0,0,3.0257487e+09,4.1416738e+06,5.4118246e+08,9.412526e+10,98.41785,52.029217,0.0035183274,0.0045003328,0.098878026,250.31201,5.535309,23.009157,7.8314586,557.68994,18967.016,1568.594,540.048,-436.73337,311.60678
14,0,0,0,0.0,0.0,1.0062694e+09,7.169392e+10,99.134735,49.374813,0.0,0.0051039234,0.0,188.99353,6.502793,16.464972,13.424149,233.24329,18026.07,1633.4976,-184.78944,53.74191,-376.93076
15,0,0,0,0.0,0.0,1.7043383e+09,2.9785735e+10,100.21435,57.542717,0.0,0.0075141536,0.0,44.099205,6.213552,6.5440583,7.7950416,739.39215,18370.795,1847.8694,-534.4915,-1.6120541,690.80994
16,0,0,0,2.6199145e+09,0.0,2.6650824e+08,6.5440154e+10,82.31407,44.369648,0.002828343,0.0029568344,0.018742735,260.2999,5.708356,23.113392,11.965478,1166.0482,18267.238,1397.572,327.303,734.9202,626.86554
17,0,0,0,0.0,0.0,6.7441286e+08,4.1440854e+10,87.42999,41.856117,0.0,0.0053501925,0.0,23.289358,6.71613,11.843278,12.759964,576.2924,18056.17,1067.7762,33.23207,365.07034,-120.606766
18,0,0,0,0.0,0.0,8.0415475e+08,3.6244816e+10,85.6824,42.360783,0.0,0.0041271145,0.0,193.28978,7.7004704,11.101753,12.743976,728.0693,17853.82,1378.0344,391.20908,120.660805,125.387405
19,0,0,0,0.0,0.0,5.40913e+08,4.6052143e+10,91.39634,42.84875,0.0,0.0040023536,0.0,234.66653,6.3351903,12.954265,6.322241,1536.9813,18592.01,1636.8143,308.5282,399.24115,55.4572
20,0,0,0,0.0,0.0,4.9286086e+08,4.435794e+10,92.04475,45.59959,0.0,0.004746133,0.0,49.48902,6.009264,12.041419,8.545032,700.66583,18284.6,1982.785,265.0807,985.7019,-76.891556
21,0,0,0,0.0,0.0,4.061206e+08,4.078523e+10,79.78041,36.734806,0.0,0.0032998398,0.0,281.80573,9.20149,14.776405,8.242124,1237.631,17663.336,1637.1233,247.3323,-391.33954,-97.55293
22,0,0,0,0.0,0.0,4.7475197e+08,3.1654785e+10,75.43867,34.340126,0.0,0.0056935865,0.0,28.97209,5.7311897,14.128419,8.461959,328.9046,17867.633,1325.1127,106.36529,-90.78602,-189.47905
23,0,0,0,0.0,0.0,6.942171e+08,1.9092374e+10,80.96198,38.09054,0.0,0.004968123,0.0,43.113125,7.0085278,6.712568,7.433854,983.78796,18414.861,1946.2045,630.48676,-345.6823,425.64636
24,0,0,0,0.0,0.0,7.461771e+08,1.4786875e+10,65.93341,31.64423,0.0,0.0062469216,0.0,77.63301,8.404335,8.085242,11.661753,884.458,18162.256,1485.4038,616.4027,-45.463566,-212.02222
27,0,0,0,0.0,0.0,4.596875e+08,2.156915e+10,83.947136,38.9915,0.0,0.004750686,0.0,35.371925,5.7669716,6.6112094,6.8441815,924.60876,18828.033,1859.2687,480.30307,642.8463,277.65723
30,0,0,0,0.0,0.0,5.4359296e+08,1.1388822e+10,66.95036,28.460144,0.0,0.005775624,0.0,14.102693,6.4638734,6.0203276,5.397912,1000.3219,17679.215,1545.9716,174.37857,121.72912,112.34678
31,0,0,0,0.0,0.0,1.8689563e+08,2.9333449e+10,70.49262,33.891582,0.0,0.003788036,0.0,73.951294,5.6770186,12.742659,12.80537,1233.5428,18758.396,1591.3252,655.6894,-73.21588,121.35113
