subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,1.9353825e+12,2.3394954e+08,4.9716216e+10,1.9231947e+13,460.41138,245.28128,0.013984578,0.014686613,22.976738,5378.834,5.17504,215.10178,83.14376,18062.846,6155.918,11914.613,-73.82042,175.81363,-67.237015
1,0,0,0,1.03414347e+12,1.7237411e+08,3.1902032e+10,9.675875e+12,441.24228,249.07832,0.011193429,0.012166563,14.802017,8765.002,6.510856,108.91807,84.98557,18023.709,6813.5425,11144.013,-98.56324,-15.43402,382.20306
2,0,0,0,4.280672e+11,6.751749e+07,1.5139655e+10,4.2049764e+12,353.13272,196.54149,0.010308056,0.011110937,2.852784,5946.8687,6.0297494,73.609344,58.89954,18032.117,7097.826,11638.186,75.4876,-352.6968,-292.93356
3,0,0,0,2.3464188e+11,6.7951224e+07,1.0797775e+10,2.2755426e+12,292.3449,158.49402,0.00970548,0.010361252,4.2140326,1792.0867,4.350709,59.207382,40.299156,17642.107,6317.518,12254.085,-84.18046,24.344685,233.14743
4,0,0,0,1.1579268e+11,2.7934448e+07,4.1074179e+09,1.1596846e+12,229.60872,120.34784,0.0073737814,0.008203516,0.8710269,645.19745,4.3324823,47.57892,42.63665,17632.066,5768.7363,12230.623,210.8188,387.1255,-188.9768
5,0,0,0,2.9131448e+10,1.4554928e+07,1.3449388e+09,4.903873e+11,173.89091,93.95994,0.0045969784,0.004456826,0.09735253,395.6573,5.7516265,35.66257,25.178514,18174.688,6563.55,11735.481,309.8171,93.5388,30.926214
6,0,0,0,2.367342e+09,0.0,3.1631652e+09,6.933816e+10,141.66122,82.582,0.008347412,0.008077675,0.18756795,190.38081,5.3143554,8.021374,11.640578,18045.451,6800.1343,11089.398,-146.76973,363.2183,692.7265
7,0,0,0,1.1898884e+09,0.0,1.4502112e+09,4.830725e+10,141.93773,84.46387,0.00689255,0.0059667057,0.1262342,142.2291,5.154804,5.9937,8.003591,18052.953,7125.3975,11655.017,-201.57643,-132.15671,-175.85258
8,0,0,0,3.2066417e+09,4.0546272e+06,2.190578e+08,1.2978895e+11,118.492,61.951805,0.002508534,0.002695878,0.015746782,145.02927,4.6661706,21.210953,11.558164,17650.986,6411.9536,11997.469,-265.89386,-238.43704,1.8567351
11,0,0,0,5.3463027e+08,0.0,4.0643606e+08,5.0308514e+10,113.75736,56.433884,0.0031139122,0.0027116772,0.0,105.144844,6.0556545,8.709573,8.902522,18063.059,7148.252,11540.869,-210.18358,-273.20923,-367.86868
13,0,0,0,0.0,0.0,3.2975174e+08,5.565378e+10,105.26568,53.43352,0.0,0.0026751605,0.0,103.62477,7.0747848,11.151587,12.226895,17850.955,6182.227,11921.255,67.86234,-160.30864,88.68089
14,0,0,0,3.1324486e+08,0.0,5.2227062e+08,3.8560547e+10,114.79737,71.65649,0.0,0.004535028,0.07440348,62.428288,4.2366023,6.9064016,11.061716,18041.896,6767.0435,11181.917,294.62766,-203.21368,1013.60706
16,0,0,0,7.8139834e+08,0.0,1.9588472e+08,5.4406038e+10,104.97811,56.850983,0.002140262,0.0023504423,0.011827914,42.694885,5.809419,10.618101,10.657792,17984.482,5995.0923,11965.458,-507.335,186.90465,-344.73538
22,0,0,0,0.0,0.0,2.6519898e+08,2.9777367e+10,90.54649,42.514656,0.0,0.0030142372,0.0,42.72077,6.987214,8.330685,10.048696,18194.1,6191.339,11651.522,-57.9861,191.72472,-71.4296
26,0,0,0,0.0,0.0,1.5323072e+08,3.2102183e+10,85.57383,41.541443,0.0,0.0018987554,0.0,23.491167,5.453285,9.607132,9.297016,17860.1,6453.947,11759.247,-309.93707,65.98947,-132.47859
200,1,200,1,3.0980548e+12,7.081649e+08,1.19151305e+11,3.1425925e+13,536.84314,297.48578,0.021173555,0.020204592,52.090237,10398.152,4.160725,255.3275,91.473885,12847.248,3598.6816,20704.182,82.13393,-133.848,-177.14555
201,1,200,0,2.3602366e+11,1.6617094e+07,5.499381e+09,2.0394757e+12,276.50034,146.74368,0.006241033,0.0072815577,1.2569171,2340.6345,9.4855175,57.397846,57.434566,12819.898,3173.5862,19873.477,-306.53793,-3.3004918,-18.598902
202,1,200,0,1.05443885e+11,1.3262744e+07,1.8601016e+09,1.0014025e+12,196.72452,105.78494,0.0040729316,0.0047501307,0.35309985,1588.6821,10.500839,57.393192,36.095684,12819.784,3677.4983,21570.518,-88.1655,-34.128845,-611.50024
203,1,200,0,1.6818323e+10,2.9672424e+07,6.346095e+09,5.780517e+11,231.98962,130.39856,0.009264879,0.007348088,0.40026632,330.20663,9.264975,23.46229,27.691637,12999.304,3438.1597,20900.273,-80.27729,11.072364,-257.92297
204,1,200,0,1.2771491e+10,9.493533e+06,6.873668e+08,2.0771419e+11,137.24951,70.52214,0.0033643572,0.00395687,0.04874799,137.51956,5.021807,24.197332,15.787484,12643.47,3461.519,20137.049,310.61224,-83.666885,-517.40137
205,1,200,0,4.8449603e+08,0.0,9.746885e+08,1.8250324e+11,150.50107,82.94923,0.006663906,0.0036004044,0.0,429.61356,8.788236,17.481453,18.064802,12750.926,3539.0068,20941.334,330.69296,45.69621,-775.38074
207,1,200,0,0.0,0.0,2.512848e+08,8.183843e+10,99.624916,50.6548,0.0,0.002231284,0.0,81.66226,6.085546,19.432343,9.121314,12498.654,4059.99,21086.205,-104.16087,-188.80504,-270.9082
209,1,200,0,0.0,0.0,5.54076e+08,2.8983228e+10,82.49878,37.92893,0.0,0.003615797,0.0,101.92446,7.8271246,9.54564,7.759749,13076.487,3509.2017,20742.318,363.1021,-262.55716,-229.11816
210,1,200,0,0.0,0.0,1.6017744e+08,5.1693654e+10,96.286415,48.290802,0.0,0.0016400217,0.0,153.2417,7.7129297,12.170896,11.77969,13158.623,3880.8486,21063.205,-248.78662,-150.31123,-145.93999
216,1,200,0,0.0,0.0,3.011009e+08,1.7809848e+10,75.39598,36.03679,0.0,0.0036967278,0.0,24.381765,7.7386146,7.564437,8.669438,13001.394,3497.5269,20674.205,-141.19423,96.92293,116.86638
217,1,200,0,0.0,0.0,1.513358e+08,3.0475764e+10,91.67577,43.818054,0.0,0.0021911932,0.0,70.96761,6.4857616,8.284917,10.593815,12880.147,3684.6877,20975.102,-199.71338,-414.0669,-40.121372
374,2,374,1,3.1066038e+12,9.3697555e+08,9.1990335e+10,3.0366107e+13,523.2482,301.19864,0.010819675,0.018375678,0.12681456,14071.077,4.4564023,252.8955,104.944275,13754.39,2108.749,16231.97,99.4841,105.14677,152.82814
375,2,374,0,6.1078114e+10,1.192673e+07,1.319551e+09,5.783431e+11,190.34134,109.422844,0.004093284,0.004595277,0.20583592,825.1749,5.5440445,34.683563,32.010807,13309.847,1889.9233,16392.31,532.6726,539.13403,135.46097
376,2,374,0,2.8434934e+10,2.5815692e+07,3.5261018e+09,4.073301e+11,193.46936,104.4307,0.0069661266,0.007837247,0.08614291,305.2811,5.143111,23.583357,20.522861,14008.046,1864.184,16322.323,214.96913,192.50397,-80.18955
377,2,374,0,2.694875e+10,7.935795e+06,5.4333306e+08,3.4954324e+11,150.40279,82.2086,0.001986473,0.0024410915,0.1813739,1235.6089,7.6652584,34.75337,26.665237,13937.693,2500.4084,16307.341,-369.4805,-112.176285,518.6525
378,2,374,0,1.3218608e+10,1.2816656e+07,1.0724126e+09,3.2844628e+11,163.96135,90.83359,0.0033249224,0.004260161,0.014503297,688.6544,6.9199924,26.649336,28.950855,13675.015,2142.6423,16557.86,555.68304,72.78066,519.8426
