subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,7.377299e+10,0.0,9.3220995e+10,2.911258e+12,150.45058,93.4344,0.0,0.021528726,0.0,3108.548,16.609821,294.58035,10.520153,1390.1716,817.9858,20151.064,-38.766457,10.081105,-14.858595
1,0,0,0,1.3184738e+10,1.6538234e+09,7.107177e+10,7.481292e+11,133.7631,74.50872,0.0,0.020141983,0.0,2741.5593,16.410212,108.96189,10.001893,1642.862,2033.9883,20894.396,-42.24448,-72.39919,-161.63234
2,0,0,0,2.0294424e+08,0.0,5.256606e+10,3.3081908e+11,143.06651,72.34593,0.0075454265,0.023221368,0.0,1063.7317,8.823808,56.70742,6.3498406,1745.902,436.93826,20048.674,-145.83418,142.621,12.735123
3,0,0,0,0.0,0.0,3.4197903e+10,7.153032e+10,121.367744,57.2273,0.0,0.02512676,0.0,317.26956,7.0124807,11.529128,7.6176214,1594.9828,969.2852,20110.758,-181.56735,19.394547,-60.0946
4,0,0,0,0.0,0.0,1.6486433e+10,1.2062859e+11,100.75363,46.59436,0.0,0.020824764,0.0,253.33983,6.0220942,49.519165,5.0333247,1322.1866,1444.5286,20620.55,-75.44929,-88.2249,-72.79359
5,0,0,0,0.0,0.0,2.1581468e+10,3.2847342e+10,112.55255,51.037075,0.0,0.027380183,0.0,191.61464,4.976299,5.7010016,6.4953804,1442.7666,814.5947,20185.096,49.359814,-41.361626,-144.422
6,0,0,0,0.0,0.0,1.3083697e+10,4.169282e+10,108.9646,45.977005,0.0,0.022028752,0.0,164.38687,3.801543,9.062791,4.9923077,1684.169,641.31854,20075.023,-238.25272,55.452225,-0.028695041
7,0,0,0,0.0,0.0,1.0741129e+10,3.887481e+10,92.19568,40.316597,0.0,0.01960851,0.0,151.81746,4.179488,13.05427,5.2334294,1213.7501,605.7309,19962.56,-130.1938,139.73456,2.3800333
8,0,0,0,0.0,0.0,1.0877028e+10,2.9935995e+10,87.02188,43.038116,0.0,0.018137164,0.0,52.203045,5.1885743,9.173438,5.3195276,1611.4009,1958.9471,20812.531,100.10452,-65.94158,-208.68668
9,0,0,0,1.0743671e+09,0.0,1.0522831e+10,3.7043606e+10,108.396286,33.829765,0.0,0.03260504,0.0,124.701866,2.6215615,16.03125,3.4464805,1455.0508,2143.9504,20428.514,-60.27142,-172.87935,28.590643
10,0,0,0,0.0,0.0,1.0457287e+10,1.7588896e+10,94.287384,49.713055,0.0,0.019718807,0.0,114.10438,3.9247494,4.3322043,5.7817535,1403.4622,800.3543,20162.127,92.96508,177.91046,-175.57655
11,0,0,0,2.3290618e+08,0.0,8.905185e+09,4.1344025e+10,100.164894,32.64175,0.039033394,0.029610997,0.0,249.11337,2.747354,30.976152,3.7999518,1420.0499,1634.9469,19921.773,-65.36285,-73.06588,-33.12314
12,0,0,0,0.0,0.0,9.261186e+09,2.2800908e+10,97.02702,35.63953,0.0,0.027144702,0.0,87.73148,3.0395155,5.4846272,3.7803516,1065.4808,886.76697,20054.086,-25.698566,18.661383,-29.472555
13,0,0,0,0.0,0.0,8.1922217e+09,2.9752418e+10,86.25616,39.23716,0.0,0.019298837,0.0,54.855595,3.50595,11.117368,5.1823316,1577.6156,1965.3179,20693.664,-114.86614,-157.4373,48.80825
14,0,0,0,0.0,1.22512264e+08,9.146319e+09,1.4648266e+10,87.167305,34.9409,0.0,0.018499883,0.0,37.06586,3.4179306,4.1883326,4.369739,1757.5164,481.76022,20057.021,-234.63918,82.97047,12.746587
15,0,0,0,0.0,0.0,8.849476e+09,1.3335156e+10,94.58937,35.204422,0.0,0.031201353,0.0,43.66195,2.9244955,3.3824046,4.3081203,1751.0554,500.97855,20070.94,-179.91743,189.28201,-42.043446
16,0,0,0,1.678035e+10,0.0,3.7839245e+09,6.3105876e+10,81.90917,38.470367,0.016095648,0.013510935,0.6427886,621.6373,7.2860456,25.135164,14.379967,1779.2963,1962.4856,20149.123,-142.7142,-94.55871,135.62386
17,0,0,0,0.0,0.0,6.2638234e+09,1.4553028e+10,79.560814,31.168343,0.0,0.024868464,0.0,33.848663,3.115272,5.3009734,3.9383073,1335.3389,657.74615,20126.52,50.67468,-40.866173,23.945599
18,0,0,0,9.167444e+07,0.0,4.8431693e+09,2.337367e+10,70.45591,27.95002,0.0,0.020060435,0.0,80.32116,3.874257,14.447188,5.6283956,1539.2339,2062.3594,20110.77,-10.51622,-64.61183,-65.072914
19,0,0,0,0.0,0.0,5.028615e+09,8.480727e+09,62.318638,26.370224,0.0,0.021964408,0.0,38.815464,4.093811,4.7764754,4.548697,1360.1188,769.2753,20215.219,146.57996,-37.700523,-164.21169
20,0,0,0,0.0,0.0,4.1529288e+09,1.1987363e+10,62.59552,30.184202,0.0,0.017771415,0.0,70.027596,4.266888,6.8729115,4.9645705,1399.8086,1627.8049,19965.492,-21.360462,-32.129868,-32.63089
21,0,0,0,5.9699507e+09,0.0,2.8501788e+09,1.9197137e+10,78.73771,30.42955,0.035298202,0.021217676,0.51161253,27.983839,2.933636,7.4044,5.240119,1550.7885,1963.2618,21078.26,-18.435545,-147.47786,-233.96295
