subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,9.860505e+12,2.0773743e+10,3.988041e+11,1.4173449e+14,798.91675,526.2402,0.008109907,0.016299728,15.561346,51740.793,90.02707,494.78305,639.693,15786.746,8883.552,2001.9115,27.139654,-11.637548,10.770895
1,0,0,0,9.916568e+09,0.0,2.1836633e+11,8.083142e+12,539.0956,351.26956,0.0070200753,0.014447944,2.665193,1262.1545,25.39913,63.051113,85.16272,16100.439,9037.083,1890.775,-781.26587,-197.17148,262.96075
2,0,0,0,1.0258594e+11,4.0922522e+09,8.530083e+10,9.156607e+12,333.565,209.47496,0.0075044315,0.018643763,0.004743139,10883.892,11.115368,180.33215,120.79201,13909.805,8125.481,2312.2483,655.82776,369.88367,-69.82319
3,0,0,0,8.599357e+08,4.1173059e+09,5.1594686e+10,2.7745864e+12,308.14902,188.94992,0.0,0.016612053,0.0,1894.5907,7.003932,63.492714,51.67232,14157.643,8502.104,2283.7405,798.7773,-318.43475,135.27249
4,0,0,0,4.573485e+08,2.5810847e+09,5.677934e+10,1.0096116e+12,242.12872,153.75201,0.0,0.019635266,0.0,1236.691,7.738726,37.617355,21.635069,13710.091,7975.2827,2314.2148,701.2434,316.76593,-506.2905
5,0,0,0,1.1149729e+09,3.216761e+09,4.613373e+10,1.4079433e+12,259.35587,152.44514,0.0,0.016197093,0.0,1469.1692,8.587152,45.087666,44.46271,15099.506,9169.847,2194.1099,245.23082,-162.01701,-93.77404
6,0,0,0,0.0,3.1993764e+09,2.811169e+10,2.4400017e+12,302.89246,185.81958,0.0,0.014756412,0.0,1084.3502,4.997135,57.433575,61.81388,15104.276,8735.836,2038.8276,914.786,537.9488,146.40918
7,0,0,0,8.3484774e+09,1.2647945e+09,2.1707973e+10,1.8608015e+12,206.0176,119.05094,0.0,0.020264762,0.0,2309.8123,5.566575,107.87879,24.30776,16614.68,10164.379,1763.9824,-148.09972,-594.07,570.34973
8,0,0,0,1.9729843e+09,1.2974153e+09,2.5554459e+10,1.2256912e+12,207.77286,119.82546,0.0,0.018553268,0.0,1546.8422,6.4643207,64.93834,13.69333,14666.159,8291.981,1586.7511,381.51926,724.4552,-83.39862
9,0,0,0,0.0,1.3893062e+09,3.1468177e+10,5.8281125e+11,213.49326,105.57367,0.0,0.023772208,0.0,489.79434,5.1053047,33.587723,7.682887,16083.113,8075.784,1841.4095,-839.787,-82.21088,55.294224
10,0,0,0,0.0,1.2366943e+09,2.3317778e+10,8.599524e+11,226.42886,134.57982,0.0,0.0167297,0.0,893.54736,4.543129,36.793633,26.372463,15710.659,8511.562,1891.0432,593.699,-642.9257,732.831
11,0,0,0,0.0,1.523227e+09,2.2433567e+10,8.716493e+11,233.32585,145.25772,0.0,0.01602149,0.0,477.24448,4.7341123,34.650963,36.37703,16272.776,8812.727,1627.3727,227.53989,659.4332,-171.8926
12,0,0,0,0.0,0.0,3.1526494e+10,2.2307178e+11,212.77975,121.892685,0.0,0.015687201,0.0,154.92714,6.8761716,10.654907,10.068571,15844.12,8787.736,2022.7028,795.6182,-186.65024,-255.75446
13,0,0,0,0.0,2.3944304e+07,2.4830704e+10,3.9943075e+11,223.75542,131.54884,0.0,0.021032862,0.0,336.95593,4.6926622,17.537846,13.574285,16254.38,8677.93,1605.2428,657.10944,438.41293,-807.88513
14,0,0,0,0.0,3.580409e+07,2.4843624e+10,3.2005072e+11,198.08543,105.02253,0.0,0.019591361,0.0,456.0466,6.1647506,18.519264,10.745994,15565.331,8588.669,1995.2771,251.95323,467.1009,-475.03482
15,0,0,0,0.0,0.0,2.3832455e+10,1.7795593e+11,188.67888,94.98977,0.0,0.021654703,0.0,181.45985,4.929013,10.9961,7.848206,15494.198,9012.783,1899.6655,602.1047,153.47795,-220.95058
16,0,0,0,0.0,0.0,2.0979577e+10,2.052981e+11,188.92355,89.3357,0.0,0.023164034,0.0,221.02574,4.767246,13.5243225,6.917705,16313.869,8674.805,1935.0193,-507.82053,-368.77484,8.718748
17,0,0,0,0.0,7.256949e+08,1.6632135e+10,2.5598501e+11,181.96191,106.43401,0.0,0.018593859,0.0,393.3024,6.0944915,17.06762,21.609371,13942.955,8080.931,2445.187,396.7056,17.69332,-680.72046
18,0,0,0,0.0,0.0,1.6809243e+10,8.399677e+10,154.1824,73.022125,0.0,0.019268634,0.0,89.40545,4.8831406,7.68104,8.295317,15566.785,8816.782,2223.2356,569.39,106.21921,-491.0886
19,0,0,0,0.0,0.0,1.5341092e+10,1.3125568e+11,170.74931,87.552086,0.0,0.017568283,0.0,97.757256,5.5805798,9.8849125,8.494029,15857.003,8778.535,2151.0845,1069.3564,-654.70306,374.66095
20,0,0,0,0.0,0.0,1.5298968e+10,4.9787134e+10,153.33044,68.79843,0.0,0.020545598,0.0,44.975044,4.6420746,4.854672,5.4562206,16250.252,9097.496,1859.0376,-1418.775,-179.9527,765.4871
21,0,0,0,0.0,0.0,1.3650415e+10,1.3951076e+11,161.22212,80.211334,0.0,0.018614568,0.0,58.388958,5.2721148,12.586121,7.7721562,15867.036,9203.058,2190.0884,-416.28113,81.2186,588.58984
22,0,0,0,0.0,0.0,1.444418e+10,5.5300497e+10,143.99812,64.6856,0.0,0.01927582,0.0,55.51381,4.854755,5.738108,5.734969,15958.943,8849.278,1715.3047,-913.6646,-161.36281,739.5245
23,0,0,0,0.0,0.0,1.3604778e+10,6.648187e+10,154.58594,73.44318,0.0,0.017132362,0.0,40.207428,5.302148,6.1021214,7.877075,15683.297,8913.577,1929.8949,166.30579,573.17206,-75.14961
24,0,0,0,3.8540116e+09,685389.56,9.542797e+09,3.2652165e+11,165.73395,81.898735,0.013070087,0.016013626,0.30867207,517.07623,5.0204706,30.26362,10.493328,15880.636,9383.189,2893.7754,-801.20605,-137.0631,37.06647
25,0,0,0,0.0,0.0,1.0679511e+10,1.5263911e+11,155.96536,71.43868,0.0,0.017054,0.0,135.6136,4.9189973,15.885063,8.189658,16506.314,8718.1455,2407.4963,-634.402,265.9692,164.81128
26,0,0,0,5.7048924e+09,965242.8,1.0367098e+10,1.5739891e+11,143.83992,76.56943,0.026066443,0.0128335655,0.220212,248.57587,7.312684,17.16112,10.721165,16040.478,8556.478,1788.3695,0.060827203,547.3239,-352.48016
27,0,0,0,0.0,0.0,1.0944765e+10,9.9383304e+10,146.02858,73.79933,0.0,0.018028632,0.0,207.67204,5.1404953,10.594826,7.366487,16084.238,8773.068,1680.2954,729.44385,-334.8732,147.60701
28,0,0,0,0.0,0.0,1.0115975e+10,1.09859774e+11,144.04692,76.29934,0.0,0.01583993,0.0,48.24336,5.7942166,11.486976,10.897853,14215.335,8595.004,2316.374,767.3039,-556.2125,334.3806
29,0,0,0,0.0,0.0,1.0048141e+10,7.830896e+10,140.37729,72.14897,0.0,0.016968599,0.0,69.99043,5.3208265,8.623061,8.278362,16196.001,8847.103,1674.417,312.02716,613.2039,-317.3694
30,0,0,0,0.0,0.0,7.9340595e+09,2.0785095e+11,152.99309,80.22598,0.0,0.014223253,0.0,485.76007,5.4210043,20.166117,14.507575,15232.429,8518.535,1900.1302,1099.7322,443.66827,233.1181
31,0,0,0,0.0,0.0,8.731071e+09,1.1369818e+11,136.90533,71.774704,0.0,0.015706647,0.0,138.73141,5.2611957,13.311185,10.484891,16110.699,8566.278,1951.8344,191.91846,-133.9054,-363.90485
32,0,0,0,3.0825185e+09,0.0,7.5545185e+09,1.3599652e+11,129.83595,64.296036,0.026811337,0.013918733,0.19257306,142.40335,6.3515096,18.547897,7.624032,15711.25,9579.531,2129.7485,528.5326,-162.70396,20.296873
33,0,0,0,0.0,0.0,8.122363e+09,8.310909e+10,136.75642,68.63342,0.0,0.015971519,0.0,200.32373,6.3161945,9.66602,8.35703,15573.642,8933.179,2084.5696,196.76424,481.79016,-12.593635
34,0,0,0,1.4309034e+09,0.0,7.977971e+09,6.600668e+10,130.63382,68.92218,0.036408156,0.01636065,0.96212256,93.61695,5.2209167,8.50991,9.869219,15585.486,8843.987,1981.8186,-657.38324,-770.17706,397.5025
35,0,0,0,0.0,0.0,6.692176e+09,1.0665063e+11,124.959595,64.15419,0.0,0.013168249,0.0,164.8791,6.331595,14.804761,12.30732,15511.449,8375.537,1789.0953,493.56934,225.96124,-96.96138
36,0,0,0,0.0,0.0,7.061078e+09,4.906223e+10,128.31259,63.541115,0.0,0.015739761,0.0,48.198296,4.794442,6.5392265,6.0283203,15892.209,8664.147,2126.9543,-712.55194,269.10327,-511.55344
37,0,0,0,0.0,0.0,5.693044e+09,1.4071208e+11,133.44092,65.71236,0.0,0.011513935,0.0,379.73663,6.690413,18.091671,11.77905,16732.703,8439.37,2492.221,-487.49664,175.46893,427.94342
38,0,0,0,0.0,0.0,5.667682e+09,1.16645175e+11,131.00781,62.836346,0.0,0.014094475,0.0,85.77214,5.468925,15.378985,6.8532968,16925.797,8572.524,2493.173,-552.8681,219.29173,108.997
39,0,0,0,4.426527e+09,0.0,5.7290547e+09,9.372857e+10,130.18062,65.43213,0.029862622,0.014289691,0.3612689,206.02124,5.3507414,12.22883,9.61937,15939.688,8960.465,1534.0873,433.69952,-198.60396,869.42334
40,0,0,0,0.0,0.0,5.388267e+09,1.1572179e+11,128.91223,65.89756,0.0,0.013050375,0.0,81.09632,5.941987,16.994839,8.519869,16839.467,10109.6045,1731.6857,-117.39673,-599.6915,569.7938
