subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,8.98855e+12,2.0705042e+10,9.269199e+11,5.661186e+13,593.448,339.7435,0.016331004,0.02046109,6.7136106,5558.423,80.51438,346.62064,304.79428,5293.292,11878.177,23351.234,73.62002,-20.302513,-0.9466178
1,0,0,0,0.0,0.0,4.9624957e+10,2.1912412e+11,200.0152,87.61409,0.0,0.033686936,0.0,475.14093,5.035274,14.653443,6.87851,5789.286,12279.328,23426.818,-46.391632,120.005554,251.81488
2,0,0,0,0.0,3.7433e+08,4.0386986e+10,3.8340857e+11,183.70634,90.005,0.0,0.026855823,0.0,527.927,6.051189,30.403208,8.8060665,6026.7964,11562.252,23778.35,417.21243,327.01816,247.33206
3,0,0,0,0.0,5.165808e+07,4.268144e+10,2.0938936e+11,184.55228,92.13602,0.0,0.01876831,0.0,119.8693,6.4661436,14.019239,9.028319,5652.432,11738.881,23485.117,-359.44293,137.30493,-148.84229
4,0,0,0,0.0,0.0,4.367494e+10,1.6504683e+11,194.93753,101.0211,0.0,0.020370906,0.0,90.2993,5.7698803,9.453315,7.4794645,5292.9585,11873.821,23502.164,205.22925,551.75494,265.45407
5,0,0,0,0.0,0.0,2.8909887e+10,2.4682111e+11,150.83168,68.218094,0.0,0.022687845,0.0,505.49084,6.5511365,34.590237,7.389298,5028.1934,12551.422,22722.65,121.62918,153.46895,-234.03323
6,0,0,0,0.0,0.0,3.4750153e+10,9.113597e+10,160.09254,79.21597,0.0,0.029345028,0.0,261.9853,6.1770015,7.6983275,7.3091288,5191.076,11983.129,23179.293,436.51727,-205.6142,489.75235
7,0,0,0,0.0,500000.22,3.003523e+10,1.6971029e+11,169.25,79.135376,0.0,0.024524264,0.0,313.33856,5.1971345,14.197825,7.452134,5788.7534,11881.521,23001.611,-146.58467,-1.5855647,-270.13388
8,0,0,0,0.0,0.0,3.0420093e+10,1.0645551e+11,190.16432,85.46124,0.0,0.023063844,0.0,134.47021,3.931182,6.4064665,5.466712,5254.6875,11757.662,23349.281,-505.72125,-106.8467,-268.1172
9,0,0,0,0.0,0.0,3.0667614e+10,9.4970225e+10,166.62126,81.42088,0.0,0.025997287,0.0,336.7123,5.2654214,7.479757,6.504892,5294.128,11982.346,23404.27,874.744,147.03128,583.699
10,0,0,0,0.0,0.0,2.486221e+10,6.5471386e+10,136.27634,65.34982,0.0,0.021803584,0.0,111.27384,6.6924653,7.8204107,8.821694,5191.4014,11941.401,23234.127,-159.6982,153.63536,-489.20792
11,0,0,0,0.0,0.0,2.2434882e+10,1.2728971e+11,155.04808,78.19322,0.0,0.019199701,0.0,89.52637,3.858444,12.300673,4.9235134,5523.4053,11716.558,23466.102,338.79617,-390.8831,611.1329
12,0,0,0,0.0,0.0,2.1146829e+10,4.7517168e+10,175.64891,80.51065,0.0,0.018931698,0.0,39.82418,3.1097827,3.6245346,5.0003405,5315.339,11879.655,23354.746,-587.8154,-124.25468,-29.81106
13,0,0,0,0.0,0.0,1.983344e+10,6.5796424e+10,146.0969,62.366497,0.0,0.024921842,0.0,27.479692,4.3520308,6.680301,5.5075016,5194.7246,11723.019,22966.393,-117.81455,-313.16916,-384.68372
14,0,0,0,0.0,0.0,1.6486691e+10,8.4377485e+10,140.12097,68.65499,0.0,0.021767983,0.0,153.84967,4.585228,9.592847,7.9155674,5717.656,12273.191,23380.58,-84.53252,-280.42053,90.49184
15,0,0,0,0.0,0.0,1.7196816e+10,7.0563996e+10,139.18501,66.280846,0.0,0.025499213,0.0,317.97314,5.329171,7.85715,7.143639,5420.9883,11705.929,23307.521,80.35555,709.8093,606.223
16,0,0,0,0.0,0.0,1.5953066e+10,9.42667e+10,130.41792,62.875195,0.0,0.023515264,0.0,175.00499,5.5002894,13.085892,8.252168,5373.7134,12261.175,23768.586,-251.20105,-36.072124,-91.65116
17,0,0,0,0.0,0.0,1.7706365e+10,3.621686e+10,130.93782,58.535046,0.0,0.024728728,0.0,22.054834,4.723784,4.7700067,5.7241488,5325.357,11931.299,23441.957,78.52098,-92.718056,-282.40546
18,0,0,0,0.0,0.0,1.6498583e+10,4.8564453e+10,133.4234,61.37051,0.0,0.027450781,0.0,225.6599,4.690456,5.9278173,6.3019104,5257.1323,11981.357,23586.959,199.68538,818.8072,500.49835
19,0,0,0,0.0,0.0,1.5665179e+10,5.433787e+10,127.769905,61.471733,0.0,0.024692634,0.0,227.58554,4.9849815,7.240591,7.379085,5164.873,11827.497,23179.633,-351.84918,749.0215,399.91
20,0,0,0,0.0,0.0,1.5140073e+10,4.1510412e+10,144.34865,59.68266,0.0,0.017410299,0.0,55.92333,4.2513247,4.398327,5.607106,5337.6763,12001.782,23377.336,-154.00816,10.066501,-112.66388
21,0,0,0,0.0,0.0,1.5159099e+10,4.870581e+10,139.84642,64.8873,0.0,0.026615748,0.0,140.37138,4.32585,5.399621,5.5943227,5315.6035,11695.229,23334.195,-227.00137,-679.0874,-534.64026
22,0,0,0,0.0,0.0,1.5552229e+10,5.274408e+10,129.00584,55.268085,0.0,0.028332112,0.0,69.22375,4.2721243,7.0924697,5.7456574,5320.437,11748.192,22921.727,-794.6399,31.725988,-129.91531
23,0,0,0,0.0,0.0,1.4504479e+10,4.5089513e+10,126.72103,52.736206,0.0,0.025042672,0.0,40.120457,4.594739,6.117277,5.9828777,5550.154,11775.546,23629.377,195.72598,-479.99515,444.5807
24,0,0,0,0.0,0.0,1.4015473e+10,2.9393422e+10,154.24998,66.522446,0.0,0.020618495,0.0,30.473906,3.1186163,3.149455,4.590656,5327.6816,11884.457,23359.434,438.81503,-99.66652,-486.25226
25,0,0,0,0.0,0.0,1.2919026e+10,4.806049e+10,121.22582,51.966274,0.0,0.024846325,0.0,162.19737,4.6462903,7.163023,5.9547014,5463.0854,12030.635,23686.426,-576.76953,-304.99258,-148.2523
26,0,0,0,0.0,0.0,1.5920084e+10,3.3006694e+10,121.88069,56.9345,0.0,0.027300365,0.0,182.77567,4.404516,5.0565434,5.8685355,5327.918,11826.439,23236.982,1102.0167,378.715,-654.20624
27,0,0,0,0.0,0.0,1.3278886e+10,3.019463e+10,120.63621,49.233402,0.0,0.02388219,0.0,67.94826,4.4525275,4.7029138,5.58769,5317.502,11771.912,23262.387,174.43715,-516.0967,-334.39246
28,0,0,0,0.0,0.0,1.3054428e+10,3.2248388e+10,150.64377,73.769325,0.0,0.024391042,0.0,76.81267,2.884541,3.256798,4.1179557,5326.1924,11886.992,23335.104,954.3477,422.99084,-550.0947
29,0,0,0,0.0,0.0,1.1758162e+10,6.4441876e+10,126.83165,60.501865,0.0,0.02142897,0.0,120.53637,4.7504783,8.891787,7.186945,4915.884,11811.795,23017.03,-41.08888,-562.1361,-153.41917
30,0,0,0,0.0,0.0,1.0179156e+10,8.0803815e+10,101.92075,47.96007,0.0,0.019322677,0.0,281.34866,6.5398955,20.097347,11.19195,4483.8486,11421.857,23550.21,285.47598,-150.70523,-123.67992
31,0,0,0,0.0,0.0,1.092396e+10,3.2396132e+10,118.43576,52.557243,0.0,0.024643695,0.0,55.470707,3.7844431,5.002005,5.262313,5410.93,11979.489,23459.941,-388.99335,677.64886,-79.41792
32,0,0,0,0.0,0.0,8.990745e+09,4.8802546e+10,103.406044,47.006557,0.0,0.018911075,0.0,215.12315,6.147592,10.504195,7.2497597,5921.049,12281.84,23878.111,59.832928,-223.72113,-241.87352
33,0,0,0,0.0,0.0,8.782634e+09,4.5917536e+10,114.36719,52.40937,0.0,0.022393297,0.0,80.656075,4.6838956,8.370176,6.1028137,5320.5327,11736.684,23064.383,-316.991,-425.2987,-670.8461
34,0,0,0,0.0,0.0,8.763427e+09,4.4246622e+10,106.9955,45.899254,0.0,0.022326672,0.0,55.873447,4.1225243,9.133703,6.0868096,5075.1006,12692.231,22874.57,-166.78403,175.72408,296.36356
35,0,0,0,0.0,0.0,8.898546e+09,2.4675183e+10,111.43633,45.03307,0.0,0.019425778,0.0,51.625607,4.201044,4.4617357,5.0153465,5167.0825,11844.514,23226.193,-106.32586,-14.815108,-286.19284
36,0,0,0,0.0,0.0,8.3742843e+09,1.9879268e+10,98.412674,40.770805,0.0,0.024698388,0.0,72.53942,4.625393,4.596181,6.2630396,5183.0444,11891.995,23523.043,685.52423,-147.85457,-53.24688
37,0,0,0,0.0,0.0,7.2663337e+09,5.1349787e+10,104.66712,45.81498,0.0,0.02156744,0.0,33.811974,4.4491506,12.608259,6.6272345,4176.92,11493.935,23596.77,148.7879,-90.258766,-98.404976
38,0,0,0,0.0,0.0,7.6742595e+09,2.8861657e+10,111.619514,54.539074,0.0,0.018707348,0.0,126.71173,3.9078052,5.0979576,5.2982364,5336.473,11819.838,23417.879,-875.64105,-509.4866,597.81104
39,0,0,0,0.0,0.0,7.654047e+09,2.1437247e+10,105.22424,41.17254,0.0,0.018866545,0.0,34.336002,3.9370975,4.39348,4.8168073,5023.659,11628.913,22790.412,-132.34735,-176.55708,-36.833614
40,0,0,0,0.0,0.0,6.925147e+09,3.7453226e+10,99.43738,44.616455,0.0,0.020691905,0.0,134.70456,4.9006124,8.524384,5.8942227,5109.1074,11375.005,23433.191,394.02432,294.80615,350.74234
41,0,0,0,1.0647392e+09,0.0,6.7226665e+09,3.2506034e+10,93.17438,42.001736,0.03100097,0.018104782,0.0,137.45093,5.7135973,8.410857,7.0765004,5498.9917,11802.057,23903.158,-274.4607,-137.41467,-682.94556
42,0,0,0,0.0,0.0,7.073525e+09,2.1995831e+10,97.30194,40.576157,0.0,0.023161588,0.0,63.6182,4.200849,5.086272,5.39312,5720.581,12158.555,23204.738,296.92303,429.6451,134.72928
43,0,0,0,0.0,0.0,6.318294e+09,3.462511e+10,100.391365,42.611504,0.0,0.021613829,0.0,94.76839,4.096444,8.047061,5.2949834,5546.646,12122.09,23844.951,-202.74838,111.22778,-536.32043
44,0,0,0,0.0,0.0,6.292292e+09,3.7332967e+10,99.223656,41.849693,0.0,0.022043409,0.0,47.90436,3.857417,10.377083,4.928179,5756.4585,11009.051,23718.986,599.6438,-35.579933,398.67053
45,0,0,0,0.0,0.0,6.966748e+09,2.4850733e+10,98.24524,50.2804,0.0,0.020184366,0.0,119.44135,4.8636346,5.671979,6.0846257,5323.842,11941.989,23154.61,544.9076,147.66595,-1005.38684
46,0,0,0,0.0,0.0,6.4707686e+09,2.7430343e+10,101.10046,43.332638,0.0,0.021187907,0.0,115.44026,4.801738,5.9113097,5.613877,4839.084,11654.051,23647.186,-23.160675,36.241974,-283.953
47,0,0,0,0.0,0.0,6.7429847e+09,1.6254532e+10,92.372116,36.056534,0.0,0.02042204,0.0,18.849264,4.2273507,4.2777395,4.4477644,5390.5815,11837.386,23018.666,229.711,-178.08572,-230.30739
48,0,0,0,0.0,0.0,6.1390213e+09,3.1939803e+10,100.101204,44.181305,0.0,0.022509232,0.0,26.705925,3.7427075,7.1453214,5.2286377,4946.924,12705.258,22746.916,162.5584,-24.095798,-199.71841
49,0,0,0,9.036339e+09,0.0,5.7167355e+09,3.5769606e+10,113.69727,47.745464,0.030409269,0.017413884,1.3741032,143.85716,4.055648,6.150164,5.1846066,5275.1147,12496.261,23147.777,281.01044,-293.26627,-76.43626
50,0,0,0,0.0,0.0,6.1914726e+09,2.2822439e+10,103.43,42.854336,0.0,0.01730392,0.0,40.696095,3.676032,4.6680183,4.5009823,5333.231,11926.806,23072.12,22.46131,-249.77364,-646.8368
